config,mean_hit_rate@10,std_hit_rate@10,mean_ndcg@10,fold_hit_rates,time_s
f=64 reg=0.05 alpha=4 iters=20,0.04333851332650674,0.0026117437112222236,0.022371465495718737,"[0.0465, 0.0401, 0.0435]",3.7
f=128 reg=0.05 alpha=4 iters=20,0.043004056849115374,0.0023661606308033115,0.0223835540500428,"[0.0461, 0.0427, 0.0403]",9.8
f=128 reg=0.01 alpha=8 iters=30,0.042469895556418835,0.0024266787133061635,0.021966721252458007,"[0.0459, 0.0413, 0.0403]",14.4
f=96 reg=0.03 alpha=6 iters=30,0.0423363351369254,0.002395260270619175,0.022019624388651283,"[0.0457, 0.0413, 0.0401]",8.1
f=64 reg=0.05 alpha=4 iters=50,0.04206948203445895,0.002666960519255408,0.02200375275616015,"[0.0457, 0.0393, 0.0413]",6.0
f=64 reg=0.1 alpha=8 iters=20,0.040399796225422356,0.0025841213011282387,0.02104155722362061,"[0.0441, 0.0387, 0.0385]",3.7
